"kingdom","phylum","class","order","family","genus","species"
"Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","unidentified"
"Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","unidentified","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Acrospermales","Acrospermales_fam_Incertae_sedis","Leptodiscella","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria","Botryosphaeria stevensii"
"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Sphaeropsis","Sphaeropsis sapinea"
"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","unidentified","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium austrohemisphaericum"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium tenuissimum"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Rachicladosporium","Rachicladosporium cboliae"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Rachicladosporium","Rachicladosporium luculiae"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Rachicladosporium",NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Extremaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Acrodontium","Acrodontium hydnicola"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella tassiana"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia","Ramularia hydrangeae-macrophyllae"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia",NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Septoria","Septoria cretae"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Septoria",NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria",NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","Neodevriesia capensis"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","Neodevriesia knoxdaviesii"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","Neodevriesia poagena"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Capnobotryella","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Catenulostroma","Catenulostroma hermanusense"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Constantinomyces","Constantinomyces oldenburgensis"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","unidentified","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea","Dothidea eucalypti"
"Fungi","Ascomycota","Dothideomycetes","Dothideales",NA,NA,NA
"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Arthrographis","Arthrographis kalrae"
"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Arthrographis","Arthrographis longispora"
"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Arthrographis",NA
"Fungi","Ascomycota","Dothideomycetes","Jahnulales","Aliquandostipitaceae","Xylomyces","Xylomyces aquaticus"
"Fungi","Ascomycota","Dothideomycetes","Microthyriales","unidentified","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera","Minutisphaera japonica"
"Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera",NA
"Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum geophilum"
"Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora","Murispora cicognanii"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","Angustimassarina acerina"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Biatriosporaceae","Biatriospora","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Biatriosporaceae","Biatriospora",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","Neocucurbitaria keratinophila"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","Neocucurbitaria populi"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta","Pyrenochaeta nobilis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis leptospora"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis pratorum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyocheirospora","Dictyocheirospora bannica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyocheirospora","Dictyocheirospora xishuangbannaensis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyocheirospora",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium","Dictyosporium strelitziae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium","Dictyosporium toruloides"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudocoleophoma","Pseudocoleophoma bauhiniae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudocoleophoma","Pseudocoleophoma polygonicola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudodictyosporium","Pseudodictyosporium wauense"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Boeremia","Boeremia exigua"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Calophoma","Calophoma sandfjordenica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella glomerata"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella urticicola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum nigrum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum plurivorum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Heterophoma","Heterophoma sylvatica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Heterophoma",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta desmazieri"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta paspali"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta tardicrescens"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neomicrosphaeropsis","Neomicrosphaeropsis elaeagni"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Nothophoma","Nothophoma variabilis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Didymosphaeria","Didymosphaeria variabile"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Didymosphaeria","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Kalmusia","Kalmusia variispora"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Laburnicola","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Montagnula","Montagnula scabiosae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Neptunomyces","Neptunomyces aureus"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium archidendri"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium fuckelii"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium variabile"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria michotii"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria neglecta"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria sardoa"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria viciae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces rosae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Spegazzinia","Spegazzinia radermacherae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea epsilon"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella caraganae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella quadriseptata"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella rosarum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Murilentithecium","Murilentithecium lonicerae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Ampelomyces","Ampelomyces quisqualis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Neophaeosphaeria","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus","Plenodomus biglobosus"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Subplenodomus","Subplenodomus violicola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Biappendiculispora","Biappendiculispora japonica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Coelodictyosporium","Coelodictyosporium rosarum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Sigarispora","Sigarispora caulium"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Sigarispora","Sigarispora coronillae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotrema","Lophiotrema rubi"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Massarina","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","Stagonospora bicolor"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","Stagonospora trichophoricola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae","Brunneofusispora","Brunneofusispora sinensis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Parabambusicolaceae","Paratrimmatostroma","Paratrimmatostroma kunmingensis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Parabambusicolaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia echinochloae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia homothallica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","Neosetophoma rosarum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neostagonospora","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosulcatispora","Neosulcatispora strelitziae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella aquatica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma pye"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma radicina"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma rhaphiolepidis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria caricicola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria marciensis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria poagena"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Piniphoma","Piniphoma wesendahlina"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora","Sclerostagonospora rosae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophaeosphaeria","Setophaeosphaeria sidae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma terrestris"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Wojnowiciella","Wojnowiciella dactylidis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Wojnowiciella","Wojnowiciella leptocarpi"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Wojnowiciella",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria angustiovoidea"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria chlamydosporigena"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria metachromatica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria subcucurbitae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia trifolii"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Paradendryphiella","Paradendryphiella arenariae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium eturmiunum"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium loti"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pseudorobillarda","Pseudorobillarda sojae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pseudorobillarda","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pseudorobillarda",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pyrenochaetopsidaceae","Neopyrenochaeta","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia flanaganii"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia persica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia polymorpha"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia terricola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella","Westerdykella dispersa"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella","Westerdykella nigra"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora","Teichospora grandicipis"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Tetraplosphaeriaceae","Tetraplosphaeria","Tetraplosphaeria sasicola"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Tetraplosphaeriaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","Parathyridaria","Parathyridaria rosae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","Roussoella","Roussoella solani"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","Roussoella",NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae",NA,NA
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","Torula acaciae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","Torula hollandica"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Trematosphaeriaceae","Trematosphaeria","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicosporium","Helicosporium griseum"
"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","unidentified","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis longiphorum"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis tshawytschae"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium","Scolecobasidium constrictum"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Veronaeopsis","Veronaeopsis simplex"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Cylindrosympodium","Cylindrosympodium variabile"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia","Venturia catenospora"
"Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","unidentified"
"Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Uncispora","Uncispora sinensis"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Anthopsis","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora europaea"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora laciniata"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora reptans"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora vermispora"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","unidentified","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia coronata"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia pilosella"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora carrionii"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora chaetospira"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",NA
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Coniosporium","Coniosporium apollinis"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Coniosporium","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala bonariae"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala equina"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala moniliae"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala pisciphila"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala salmonis"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",NA
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Heteroconium","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Minimelanolocus","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Minimelanolocus",NA
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora cyclaminis"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora foetens"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora geniculata"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora livistonae"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea",NA
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","unidentified","unidentified"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA
